80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0046 S:0133 D:0E68 DB:86 nvMXdizC V:247 H:170 F:39

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvMXdizC V:247 H:180 F:39
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:185 F:39
	80D534 85 22       STA $22       [000E8A] A:14D0 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:193 F:39
	80D536 A5 08       LDA $08       [000E70] A:14D0 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:202 F:39
	80D538 85 24       STA $24       [000E8C] A:0A9D X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:210 F:39
	80D53A E2 20       SEP #$20               A:0A9D X:0000 Y:0046 S:0131 D:0E68 DB:86 nvmXdizC V:247 H:219 F:39
	80D53C A9 80       LDA #$80               A:0A9D X:0000 Y:0046 S:0131 D:0E68 DB:86 nvMXdizC V:247 H:223 F:39
	80D53E 14 0E       TRB $0E       [000E76] A:0A80 X:0000 Y:0046 S:0131 D:0E68 DB:86 NvMXdizC V:247 H:226 F:39
	80D540 A5 0A       LDA $0A       [000E72] A:0A80 X:0000 Y:0046 S:0131 D:0E68 DB:86 NvMXdizC V:247 H:236 F:39
	80D542 0A          ASL A                  A:0A14 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvMXdizC V:247 H:243 F:39
	80D543 AA          TAX                    A:0A28 X:0000 Y:0046 S:0131 D:0E68 DB:86 nvMXdizc V:247 H:246 F:39
	80D544 7C DD F8    JMP ($F8DD,X) [80F905] A:0A28 X:0028 Y:0046 S:0131 D:0E68 DB:86 nvMXdizc V:247 H:249 F:39

	80FA15 22 44 B1 83 JSL $83B144   [83B144] A:0A28 X:0028 Y:0046 S:0131 D:0E68 DB:86 nvMXdizc V:247 H:258 F:39

		83B144 A6 01       LDX $01       [000E69] A:0A28 X:0028 Y:0046 S:012E D:0E68 DB:86 nvMXdizc V:247 H:271 F:39
		83B146 7C 49 B1    JMP ($B149,X) [83B14D] A:0A28 X:0004 Y:0046 S:012E D:0E68 DB:86 nvMXdizc V:247 H:278 F:39

		83B2E8 A6 02       LDX $02       [000E6A] A:0A28 X:0004 Y:0046 S:012E D:0E68 DB:86 nvMXdizc V:247 H:287 F:39
		83B2EA FC DA B3    JSR ($B3DA,X) [83B3DA] A:0A28 X:0000 Y:0046 S:012E D:0E68 DB:86 nvMXdiZc V:247 H:293 F:39

			83B3E4 A6 03       LDX $03       [000E6B] A:0A28 X:0000 Y:0046 S:012C D:0E68 DB:86 nvMXdiZc V:247 H:306 F:39
			83B3E6 7C E9 B3    JMP ($B3E9,X) [83B3F1] A:0A28 X:0008 Y:0046 S:012C D:0E68 DB:86 nvMXdizc V:247 H:313 F:39

			83B493 22 3E 82 82 JSL $82823E   [82823E] A:0A28 X:0008 Y:0046 S:012C D:0E68 DB:86 nvMXdizc V:247 H:322 F:39		JSL $82823E --> Update X-Pos

				82823E 08          PHP                    A:0A28 X:0008 Y:0046 S:0129 D:0E68 DB:86 nvMXdizc V:247 H:334 F:39
				82823F C2 21       REP #$21               A:0A28 X:0008 Y:0046 S:0128 D:0E68 DB:86 nvMXdizc V:247 H:339 F:39
				828241 A5 04       LDA $04       [000E6C] A:0A28 X:0008 Y:0046 S:0128 D:0E68 DB:86 nvmXdizc V:248 H:  4 F:39
				828243 65 1A       ADC $1A       [000E82] A:D000 X:0008 Y:0046 S:0128 D:0E68 DB:86 NvmXdizc V:248 H: 12 F:39
				828245 85 04       STA $04       [000E6C] A:CA00 X:0008 Y:0046 S:0128 D:0E68 DB:86 NvmXdizC V:248 H: 21 F:39
				828247 E2 20       SEP #$20               A:CA00 X:0008 Y:0046 S:0128 D:0E68 DB:86 NvmXdizC V:248 H: 29 F:39
				828249 24 1B       BIT $1B       [000E83] A:CA00 X:0008 Y:0046 S:0128 D:0E68 DB:86 NvMXdizC V:248 H: 34 F:39
				82824B 30 08       BMI $0008     [828255] A:CA00 X:0008 Y:0046 S:0128 D:0E68 DB:86 NVMXdiZC V:248 H: 40 F:39
				828255 A5 06       LDA $06       [000E6E] A:CA00 X:0008 Y:0046 S:0128 D:0E68 DB:86 NVMXdiZC V:248 H: 45 F:39
				828257 69 FF       ADC #$FF               A:CA14 X:0008 Y:0046 S:0128 D:0E68 DB:86 nVMXdizC V:248 H: 51 F:39
				828259 85 06       STA $06       [000E6E] A:CA14 X:0008 Y:0046 S:0128 D:0E68 DB:86 nvMXdizC V:248 H: 54 F:39
				82825B 28          PLP                    A:CA14 X:0008 Y:0046 S:0128 D:0E68 DB:86 nvMXdizC V:248 H: 61 F:39
				82825C 6B          RTL                    A:CA14 X:0008 Y:0046 S:0129 D:0E68 DB:86 nvMXdizc V:248 H: 67 F:39

			83B497 22 BE 91 84 JSL $8491BE   [8491BE] A:CA14 X:0008 Y:0046 S:012C D:0E68 DB:86 nvMXdizc V:248 H: 78 F:39		JSL $8491BE --> Check for colissions and adjust position

				8491BE 08          PHP                    A:CA14 X:0008 Y:0046 S:0129 D:0E68 DB:86 nvMXdizc V:248 H: 91 F:39
				8491BF 0B          PHD                    A:CA14 X:0008 Y:0046 S:0128 D:0E68 DB:86 nvMXdizc V:248 H: 96 F:39
				8491C0 C2 30       REP #$30               A:CA14 X:0008 Y:0046 S:0126 D:0E68 DB:86 nvMXdizc V:248 H:103 F:39
				8491C2 A5 20       LDA $20       [000E88] A:CA14 X:0008 Y:0046 S:0126 D:0E68 DB:86 nvmxdizc V:248 H:108 F:39
