80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0046 S:0133 D:0E68 DB:86 nvMXdizC V:247 H:316 F: 3
				8491C8 A9 00 00    LDA #$0000             A:0E68 X:0E68 Y:0046 S:0126 D:0E68 DB:86 nvmxdizc V:248 H:281 F: 3
				8491CB 5B          TCD                    A:0000 X:0E68 Y:0046 S:0126 D:0E68 DB:86 nvmxdiZc V:248 H:285 F: 3
				8491CC 64 14       STZ $14       [000014] A:0000 X:0E68 Y:0046 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:288 F: 3
				8491CE B5 2B       LDA $2B,X     [000E93] A:0000 X:0E68 Y:0046 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:295 F: 3
				8491D0 29 00 FF    AND #$FF00             A:0000 X:0E68 Y:0046 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:304 F: 3
				8491D3 95 2B       STA $2B,X     [000E93] A:0000 X:0E68 Y:0046 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:308 F: 3
				8491D5 20 AC 92    JSR $92AC     [8492AC] A:0000 X:0E68 Y:0046 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:317 F: 3

					8492AC C2 30       REP #$30               A:0000 X:0E68 Y:0046 S:0124 D:0000 DB:86 nvmxdiZc V:248 H:326 F: 3
					8492AE B5 05       LDA $05,X     [000E6D] A:0000 X:0E68 Y:0046 S:0124 D:0000 DB:86 nvmxdiZc V:248 H:330 F: 3
					8492B0 38          SEC                    A:141C X:0E68 Y:0046 S:0124 D:0000 DB:86 nvmxdizc V:248 H:339 F: 3
					8492B1 F5 22       SBC $22,X     [000E8A] A:141C X:0E68 Y:0046 S:0124 D:0000 DB:86 nvmxdizC V:249 H:  2 F: 3
					8492B3 85 00       STA $00       [000000] A:FFFA X:0E68 Y:0046 S:0124 D:0000 DB:86 Nvmxdizc V:249 H: 10 F: 3
					8492B5 E2 20       SEP #$20               A:FFFA X:0E68 Y:0046 S:0124 D:0000 DB:86 Nvmxdizc V:249 H: 17 F: 3
					8492B7 F0 4C       BEQ $004C     [849305] A:FFFA X:0E68 Y:0046 S:0124 D:0000 DB:86 NvMxdizc V:249 H: 22 F: 3
					8492B9 B4 20       LDY $20,X     [000E88] A:FFFA X:0E68 Y:0046 S:0124 D:0000 DB:86 NvMxdizc V:249 H: 25 F: 3
					8492BB B9 05 00    LDA $0005,Y   [86C94A] A:FFFA X:0E68 Y:C945 S:0124 D:0000 DB:86 NvMxdizc V:249 H: 33 F: 3
					8492BE 34 11       BIT $11,X     [000E79] A:FF00 X:0E68 Y:C945 S:0124 D:0000 DB:86 nvMxdiZc V:249 H: 41 F: 3
					8492C0 50 03       BVC $0003     [8492C5] A:FF00 X:0E68 Y:C945 S:0124 D:0000 DB:86 nvMxdiZc V:249 H: 47 F: 3
					8492C5 24 00       BIT $00       [000000] A:FF00 X:0E68 Y:C945 S:0124 D:0000 DB:86 nvMxdiZc V:249 H: 52 F: 3
					8492C7 10 06       BPL $0006     [8492CF] A:FF00 X:0E68 Y:C945 S:0124 D:0000 DB:86 NVMxdiZc V:249 H: 57 F: 3
					8492C9 38          SEC                    A:FF00 X:0E68 Y:C945 S:0124 D:0000 DB:86 NVMxdiZc V:249 H: 60 F: 3
					8492CA F9 07 00    SBC $0007,Y   [86C94C] A:FF00 X:0E68 Y:C945 S:0124 D:0000 DB:86 NVMxdiZC V:249 H: 63 F: 3
					8492CD 80 04       BRA $0004     [8492D3] A:FFF1 X:0E68 Y:C945 S:0124 D:0000 DB:86 NvMxdizc V:249 H: 70 F: 3
					8492D3 95 29       STA $29,X     [000E91] A:FFF1 X:0E68 Y:C945 S:0124 D:0000 DB:86 NvMxdizc V:249 H: 75 F: 3
					8492D5 B9 06 00    LDA $0006,Y   [86C94B] A:FFF1 X:0E68 Y:C945 S:0124 D:0000 DB:86 NvMxdizc V:249 H: 81 F: 3
					8492D8 95 2A       STA $2A,X     [000E92] A:FF00 X:0E68 Y:C945 S:0124 D:0000 DB:86 nvMxdiZc V:249 H: 89 F: 3
					8492DA 20 15 93    JSR $9315     [849315] A:FF00 X:0E68 Y:C945 S:0124 D:0000 DB:86 nvMxdiZc V:249 H: 95 F: 3

						849315 20 B3 90    JSR $90B3     [8490B3] A:FF00 X:0E68 Y:C945 S:0122 D:0000 DB:86 nvMxdiZc V:249 H:105 F: 3

							8490B3 0B          PHD                    A:FF00 X:0E68 Y:C945 S:0120 D:0000 DB:86 nvMxdiZc V:249 H:115 F: 3
							8490B4 DA          PHX                    A:FF00 X:0E68 Y:C945 S:011E D:0000 DB:86 nvMxdiZc V:249 H:122 F: 3
							8490B5 08          PHP                    A:FF00 X:0E68 Y:C945 S:011C D:0000 DB:86 nvMxdiZc V:249 H:129 F: 3
							8490B6 E2 20       SEP #$20               A:FF00 X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdiZc V:249 H:144 F: 3
							8490B8 C2 10       REP #$10               A:FF00 X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdiZc V:249 H:149 F: 3
							8490BA 64 01       STZ $01       [000001] A:FF00 X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdiZc V:249 H:153 F: 3
							8490BC B5 29       LDA $29,X     [000E91] A:FF00 X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdiZc V:249 H:158 F: 3
							8490BE 10 02       BPL $0002     [8490C2] A:FFF1 X:0E68 Y:C945 S:011B D:0000 DB:86 NvMxdizc V:249 H:165 F: 3
							8490C0 C6 01       DEC $01       [000001] A:FFF1 X:0E68 Y:C945 S:011B D:0000 DB:86 NvMxdizc V:249 H:168 F: 3
							8490C2 18          CLC                    A:FFF1 X:0E68 Y:C945 S:011B D:0000 DB:86 NvMxdizc V:249 H:176 F: 3
							8490C3 75 05       ADC $05,X     [000E6D] A:FFF1 X:0E68 Y:C945 S:011B D:0000 DB:86 NvMxdizc V:249 H:179 F: 3
							8490C5 85 00       STA $00       [000000] A:FF0D X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizC V:249 H:186 F: 3
							8490C7 B5 06       LDA $06,X     [000E6E] A:FF0D X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizC V:249 H:191 F: 3
							8490C9 65 01       ADC $01       [000001] A:FF14 X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizC V:249 H:197 F: 3
							8490CB 85 01       STA $01       [000001] A:FF14 X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizC V:249 H:202 F: 3
							8490CD 64 03       STZ $03       [000003] A:FF14 X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizC V:249 H:207 F: 3
							8490CF B5 2A       LDA $2A,X     [000E92] A:FF14 X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizC V:249 H:212 F: 3
							8490D1 10 02       BPL $0002     [8490D5] A:FF00 X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdiZC V:249 H:219 F: 3
							8490D5 18          CLC                    A:FF00 X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdiZC V:249 H:223 F: 3
							8490D6 75 08       ADC $08,X     [000E70] A:FF00 X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdiZc V:249 H:226 F: 3
							8490D8 85 02       STA $02       [000002] A:FF9D X:0E68 Y:C945 S:011B D:0000 DB:86 NvMxdizc V:249 H:233 F: 3
							8490DA 29 F0       AND #$F0               A:FF9D X:0E68 Y:C945 S:011B D:0000 DB:86 NvMxdizc V:249 H:238 F: 3
							8490DC 85 0A       STA $0A       [00000A] A:FF90 X:0E68 Y:C945 S:011B D:0000 DB:86 NvMxdizc V:249 H:241 F: 3
							8490DE B5 09       LDA $09,X     [000E71] A:FF90 X:0E68 Y:C945 S:011B D:0000 DB:86 NvMxdizc V:249 H:246 F: 3
							8490E0 65 03       ADC $03       [000003] A:FF0A X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizc V:249 H:252 F: 3
							8490E2 85 03       STA $03       [000003] A:FF0A X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizc V:249 H:257 F: 3
							8490E4 85 0B       STA $0B       [00000B] A:FF0A X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizc V:249 H:262 F: 3
							8490E6 A5 00       LDA $00       [000000] A:FF0A X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizc V:249 H:267 F: 3
							8490E8 29 0F       AND #$0F               A:FF0D X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizc V:249 H:272 F: 3
							8490EA 1A          INC                    A:FF0D X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizc V:249 H:275 F: 3
							8490EB 85 0C       STA $0C       [00000C] A:FF0E X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizc V:249 H:278 F: 3
							8490ED A5 02       LDA $02       [000002] A:FF0E X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizc V:249 H:283 F: 3
							8490EF 29 0F       AND #$0F               A:FF9D X:0E68 Y:C945 S:011B D:0000 DB:86 NvMxdizc V:249 H:288 F: 3
							8490F1 1A          INC                    A:FF0D X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizc V:249 H:291 F: 3
							8490F2 85 0E       STA $0E       [00000E] A:FF0E X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizc V:249 H:294 F: 3
							8490F4 C2 20       REP #$20               A:FF0E X:0E68 Y:C945 S:011B D:0000 DB:86 nvMxdizc V:249 H:299 F: 3
							8490F6 20 6A 91    JSR $916A     [84916A] A:FF0E X:0E68 Y:C945 S:011B D:0000 DB:86 nvmxdizc V:249 H:304 F: 3

								84916A A9 00 E8    LDA #$E800             A:FF0E X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:249 H:314 F: 3
								84916D 85 10       STA $10       [000010] A:E800 X:0E68 Y:C945 S:0119 D:0000 DB:86 Nvmxdizc V:249 H:318 F: 3
								84916F A9 7E 00    LDA #$007E             A:E800 X:0E68 Y:C945 S:0119 D:0000 DB:86 Nvmxdizc V:249 H:325 F: 3
								849172 85 12       STA $12       [000012] A:007E X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:249 H:329 F: 3
								849174 A5 02       LDA $02       [000002] A:007E X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:249 H:336 F: 3
								849176 29 F0 00    AND #$00F0             A:0A9D X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H:  3 F: 3
								849179 0A          ASL A                  A:0090 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H:  7 F: 3
								84917A 85 04       STA $04       [000004] A:0120 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 10 F: 3
								84917C A5 00       LDA $00       [000000] A:0120 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 17 F: 3
								84917E 29 FF 00    AND #$00FF             A:140D X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 24 F: 3
								849181 4A          LSR A                  A:000D X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 29 F: 3
								849182 4A          LSR A                  A:0006 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizC V:250 H: 32 F: 3
								849183 4A          LSR A                  A:0003 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 35 F: 3
								849184 29 FE FF    AND #$FFFE             A:0001 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizC V:250 H: 38 F: 3
								849187 18          CLC                    A:0000 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdiZC V:250 H: 42 F: 3
								849188 65 04       ADC $04       [000004] A:0000 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdiZc V:250 H: 45 F: 3
								84918A 85 06       STA $06       [000006] A:0120 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 52 F: 3
								84918C A5 00       LDA $00       [000000] A:0120 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 59 F: 3
								84918E EB          XBA                    A:140D X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 66 F: 3
								84918F 29 1F 00    AND #$001F             A:0D14 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 71 F: 3
								849192 85 04       STA $04       [000004] A:0014 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 75 F: 3
								849194 A5 02       LDA $02       [000002] A:0014 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 82 F: 3
								849196 29 00 1F    AND #$1F00             A:0A9D X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 89 F: 3
								849199 4A          LSR A                  A:0A00 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 94 F: 3
								84919A 4A          LSR A                  A:0500 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H: 97 F: 3
								84919B 4A          LSR A                  A:0280 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H:100 F: 3
								84919C 18          CLC                    A:0140 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H:103 F: 3
								84919D 65 04       ADC $04       [000004] A:0140 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H:106 F: 3
								84919F A8          TAY                    A:0154 X:0E68 Y:C945 S:0119 D:0000 DB:86 nvmxdizc V:250 H:113 F: 3
								8491A0 B7 10       LDA [$10],Y   [7EE954] A:0154 X:0E68 Y:0154 S:0119 D:0000 DB:86 nvmxdizc V:250 H:116 F: 3
								8491A2 29 FF 00    AND #$00FF             A:0038 X:0E68 Y:0154 S:0119 D:0000 DB:86 nvmxdizc V:250 H:129 F: 3
								8491A5 A8          TAY                    A:0038 X:0E68 Y:0154 S:0119 D:0000 DB:86 nvmxdizc V:250 H:133 F: 3
								8491A6 EB          XBA                    A:0038 X:0E68 Y:0038 S:0119 D:0000 DB:86 nvmxdizc V:250 H:146 F: 3
								8491A7 0A          ASL A                  A:3800 X:0E68 Y:0038 S:0119 D:0000 DB:86 nvmxdiZc V:250 H:151 F: 3
								8491A8 18          CLC                    A:7000 X:0E68 Y:0038 S:0119 D:0000 DB:86 nvmxdizc V:250 H:154 F: 3
								8491A9 65 06       ADC $06       [000006] A:7000 X:0E68 Y:0038 S:0119 D:0000 DB:86 nvmxdizc V:250 H:157 F: 3
								8491AB AA          TAX                    A:7120 X:0E68 Y:0038 S:0119 D:0000 DB:86 nvmxdizc V:250 H:164 F: 3
								8491AC 60          RTS                    A:7120 X:7120 Y:0038 S:0119 D:0000 DB:86 nvmxdizc V:250 H:167 F: 3

							8490F9 BF 00 20 7E LDA $7E2000,X [7E9120] A:7120 X:7120 Y:0038 S:011B D:0000 DB:86 nvmxdizc V:250 H:177 F: 3
							8490FD A8          TAY                    A:0124 X:7120 Y:0038 S:011B D:0000 DB:86 nvmxdizc V:250 H:187 F: 3
							8490FE AD 92 0B    LDA $0B92     [860B92] A:0124 X:7120 Y:0124 S:011B D:0000 DB:86 nvmxdizc V:250 H:190 F: 3
							849101 85 10       STA $10       [000010] A:DB57 X:7120 Y:0124 S:011B D:0000 DB:86 Nvmxdizc V:250 H:198 F: 3
							849103 AD 94 0B    LDA $0B94     [860B94] A:DB57 X:7120 Y:0124 S:011B D:0000 DB:86 Nvmxdizc V:250 H:205 F: 3
							849106 85 12       STA $12       [000012] A:B895 X:7120 Y:0124 S:011B D:0000 DB:86 Nvmxdizc V:250 H:214 F: 3
							849108 B7 10       LDA [$10],Y   [95DC7B] A:B895 X:7120 Y:0124 S:011B D:0000 DB:86 Nvmxdizc V:250 H:221 F: 3
							84910A 29 FF 00    AND #$00FF             A:3B3B X:7120 Y:0124 S:011B D:0000 DB:86 nvmxdizc V:250 H:233 F: 3
							84910D 28          PLP                    A:003B X:7120 Y:0124 S:011B D:0000 DB:86 nvmxdizc V:250 H:237 F: 3
							84910E FA          PLX                    A:003B X:7120 Y:0124 S:011C D:0000 DB:86 nvMxdiZc V:250 H:244 F: 3
							84910F 2B          PLD                    A:003B X:0E68 Y:0124 S:011E D:0000 DB:86 nvMxdizc V:250 H:252 F: 3
							849110 60          RTS                    A:003B X:0E68 Y:0124 S:0120 D:0000 DB:86 nvMxdiZc V:250 H:261 F: 3

						849318 B4 05       LDY $05,X     [000E6D] A:003B X:0E68 Y:0124 S:0122 D:0000 DB:86 nvMxdiZc V:250 H:271 F: 3
						84931A 84 10       STY $10       [000010] A:003B X:0E68 Y:141C S:0122 D:0000 DB:86 nvMxdizc V:250 H:279 F: 3
						84931C B4 08       LDY $08,X     [000E70] A:003B X:0E68 Y:141C S:0122 D:0000 DB:86 nvMxdizc V:250 H:286 F: 3
						84931E 84 12       STY $12       [000012] A:003B X:0E68 Y:0A9D S:0122 D:0000 DB:86 nvMxdizc V:250 H:295 F: 3
						849320 95 2D       STA $2D,X     [000E95] A:003B X:0E68 Y:0A9D S:0122 D:0000 DB:86 nvMxdizc V:250 H:302 F: 3
						849322 86 2C       STX $2C       [00002C] A:003B X:0E68 Y:0A9D S:0122 D:0000 DB:86 nvMxdizc V:250 H:308 F: 3
						849324 29 3F       AND #$3F               A:003B X:0E68 Y:0A9D S:0122 D:0000 DB:86 nvMxdizc V:250 H:315 F: 3
						849326 0A          ASL A                  A:003B X:0E68 Y:0A9D S:0122 D:0000 DB:86 nvMxdizc V:250 H:318 F: 3
						849327 EB          XBA                    A:0076 X:0E68 Y:0A9D S:0122 D:0000 DB:86 nvMxdizc V:250 H:321 F: 3
						849328 A9 00       LDA #$00               A:7600 X:0E68 Y:0A9D S:0122 D:0000 DB:86 nvMxdiZc V:250 H:325 F: 3
						84932A EB          XBA                    A:7600 X:0E68 Y:0A9D S:0122 D:0000 DB:86 nvMxdiZc V:250 H:328 F: 3
						84932B AA          TAX                    A:0076 X:0E68 Y:0A9D S:0122 D:0000 DB:86 nvMxdizc V:250 H:332 F: 3
						84932C FC 5D 93    JSR ($935D,X) [8493D3] A:0076 X:0076 Y:0A9D S:0122 D:0000 DB:86 nvMxdizc V:250 H:335 F: 3

							8493DD A6 2C       LDX $2C       [00002C] A:0076 X:0076 Y:0A9D S:0120 D:0000 DB:86 nvMxdizc V:251 H:  8 F: 3
							8493DF 64 01       STZ $01       [000001] A:0076 X:0E68 Y:0A9D S:0120 D:0000 DB:86 nvMxdizc V:251 H: 15 F: 3
