80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BB S:0133 D:0E68 DB:86 nvMXdizC V:247 H:172 F:10
				82821C 65 06       ADC $06       [000E6E] A:4400 X:0008 Y:00BB S:0128 D:0E68 DB:86 nvMXdiZc V:248 H:128 F:10
				82821E 85 06       STA $06       [000E6E] A:441D X:0008 Y:00BB S:0128 D:0E68 DB:86 nvMXdizc V:248 H:145 F:10
				828220 C2 20       REP #$20               A:441D X:0008 Y:00BB S:0128 D:0E68 DB:86 nvMXdizc V:248 H:151 F:10
				828222 38          SEC                    A:441D X:0008 Y:00BB S:0128 D:0E68 DB:86 nvmXdizc V:248 H:156 F:10
				828223 A5 07       LDA $07       [000E6F] A:441D X:0008 Y:00BB S:0128 D:0E68 DB:86 nvmXdizC V:248 H:159 F:10
				828225 E5 1C       SBC $1C       [000E84] A:4AAC X:0008 Y:00BB S:0128 D:0E68 DB:86 nvmXdizC V:248 H:167 F:10
				828227 85 07       STA $07       [000E6F] A:4AEC X:0008 Y:00BB S:0128 D:0E68 DB:86 nvmXdizc V:248 H:176 F:10
				828229 E2 20       SEP #$20               A:4AEC X:0008 Y:00BB S:0128 D:0E68 DB:86 nvmXdizc V:248 H:184 F:10
				82822B 9C 00 00    STZ $0000     [860000] A:4AEC X:0008 Y:00BB S:0128 D:0E68 DB:86 nvMXdizc V:248 H:189 F:10
				82822E 24 1D       BIT $1D       [000E85] A:4AEC X:0008 Y:00BB S:0128 D:0E68 DB:86 nvMXdizc V:248 H:195 F:10
				828230 10 03       BPL $0003     [828235] A:4AEC X:0008 Y:00BB S:0128 D:0E68 DB:86 NVMXdizc V:248 H:202 F:10
				828232 CE 00 00    DEC $0000     [860000] A:4AEC X:0008 Y:00BB S:0128 D:0E68 DB:86 NVMXdizc V:248 H:205 F:10
				828235 A5 09       LDA $09       [000E71] A:4AEC X:0008 Y:00BB S:0128 D:0E68 DB:86 NVMXdizc V:248 H:215 F:10
				828237 ED 00 00    SBC $0000     [860000] A:4A03 X:0008 Y:00BB S:0128 D:0E68 DB:86 nVMXdizc V:248 H:221 F:10
				82823A 85 09       STA $09       [000E71] A:4A03 X:0008 Y:00BB S:0128 D:0E68 DB:86 nvMXdizc V:248 H:228 F:10
