80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0046 S:0133 D:0E68 DB:86 nvMXdizC V:247 H:115 F:29
				848EF8 A5 14       LDA $14       [000E7C] A:90AF X:000C Y:0046 S:0127 D:0E68 DB:AF NvmXdizc V:248 H: 91 F:29
				848EFA 69 03 00    ADC #$0003             A:CD8D X:000C Y:0046 S:0127 D:0E68 DB:AF NvmXdizc V:248 H: 99 F:29
				848EFD A4 0F       LDY $0F       [000E77] A:CD90 X:000C Y:0046 S:0127 D:0E68 DB:AF NvmXdizc V:248 H:104 F:29
				848EFF 10 37       BPL $0037     [848F38] A:CD90 X:000C Y:0000 S:0127 D:0E68 DB:AF nvmXdiZc V:248 H:110 F:29
				848F38 85 14       STA $14       [000E7C] A:CD90 X:000C Y:0000 S:0127 D:0E68 DB:AF nvmXdiZc V:248 H:115 F:29
				848F3A E2 30       SEP #$30               A:CD90 X:000C Y:0000 S:0127 D:0E68 DB:AF nvmXdiZc V:248 H:123 F:29
				848F3C B2 14       LDA ($14)     [AFCD90] A:CD90 X:000C Y:0000 S:0127 D:0E68 DB:AF nvMXdiZc V:248 H:128 F:29
				848F3E 85 13       STA $13       [000E7B] A:CD03 X:000C Y:0000 S:0127 D:0E68 DB:AF nvMXdizc V:248 H:148 F:29
				848F40 A0 01       LDY #$01               A:CD03 X:000C Y:0000 S:0127 D:0E68 DB:AF nvMXdizc V:248 H:154 F:29
				848F42 B1 14       LDA ($14),Y   [AFCD91] A:CD03 X:000C Y:0001 S:0127 D:0E68 DB:AF nvMXdizc V:248 H:157 F:29
				848F44 85 0F       STA $0F       [000E77] A:CD80 X:000C Y:0001 S:0127 D:0E68 DB:AF NvMXdizc V:248 H:167 F:29
				848F46 C8          INY                    A:CD80 X:000C Y:0001 S:0127 D:0E68 DB:AF NvMXdizc V:248 H:174 F:29
				848F47 B1 14       LDA ($14),Y   [AFCD92] A:CD80 X:000C Y:0002 S:0127 D:0E68 DB:AF nvMXdizc V:248 H:177 F:29
				848F49 85 17       STA $17       [000E7F] A:CD16 X:000C Y:0002 S:0127 D:0E68 DB:AF nvMXdizc V:248 H:187 F:29
				848F4B A9 80       LDA #$80               A:CD16 X:000C Y:0002 S:0127 D:0E68 DB:AF nvMXdizc V:248 H:193 F:29
				848F4D 04 17       TSB $17       [000E7F] A:CD80 X:000C Y:0002 S:0127 D:0E68 DB:AF NvMXdizc V:248 H:196 F:29
				848F4F AB          PLB                    A:CD80 X:000C Y:0002 S:0127 D:0E68 DB:AF NvMXdiZc V:248 H:206 F:29
				848F50 28          PLP                    A:CD80 X:000C Y:0002 S:0128 D:0E68 DB:86 NvMXdizc V:248 H:213 F:29
				848F51 6B          RTL                    A:CD80 X:000C Y:0002 S:0129 D:0E68 DB:86 nvMXdizc V:248 H:219 F:29

			83B8C8 22 BE 91 84 JSL $8491BE   [8491BE] A:CD80 X:000C Y:0002 S:012C D:0E68 DB:86 nvMXdizc V:248 H:230 F:29		JSL $8491BE --> Check for colissions and adjust position

				8491BE 08          PHP                    A:CD80 X:000C Y:0002 S:0129 D:0E68 DB:86 nvMXdizc V:248 H:243 F:29
				8491BF 0B          PHD                    A:CD80 X:000C Y:0002 S:0128 D:0E68 DB:86 nvMXdizc V:248 H:248 F:29
				8491C0 C2 30       REP #$30               A:CD80 X:000C Y:0002 S:0126 D:0E68 DB:86 nvMXdizc V:248 H:255 F:29
				8491C2 A5 20       LDA $20       [000E88] A:CD80 X:000C Y:0002 S:0126 D:0E68 DB:86 nvmxdizc V:248 H:260 F:29
				8491C4 F0 15       BEQ $0015     [8491DB] A:C94F X:000C Y:0002 S:0126 D:0E68 DB:86 Nvmxdizc V:248 H:268 F:29
				8491C6 7B          TDC                    A:C94F X:000C Y:0002 S:0126 D:0E68 DB:86 Nvmxdizc V:248 H:271 F:29
				8491C7 AA          TAX                    A:0E68 X:000C Y:0002 S:0126 D:0E68 DB:86 nvmxdizc V:248 H:274 F:29
				8491C8 A9 00 00    LDA #$0000             A:0E68 X:0E68 Y:0002 S:0126 D:0E68 DB:86 nvmxdizc V:248 H:277 F:29
				8491CB 5B          TCD                    A:0000 X:0E68 Y:0002 S:0126 D:0E68 DB:86 nvmxdiZc V:248 H:282 F:29
				8491CC 64 14       STZ $14       [000014] A:0000 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:285 F:29
				8491CE B5 2B       LDA $2B,X     [000E93] A:0000 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:292 F:29
				8491D0 29 00 FF    AND #$FF00             A:0004 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdizc V:248 H:300 F:29
