80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BC S:0133 D:0E68 DB:86 nvMXdizC V:247 H:206 F:25
				848F42 B1 14       LDA ($14),Y   [AFDF96] A:DF04 X:0002 Y:0001 S:0127 D:0E68 DB:AF nvMXdizc V:248 H:172 F:25
				848F44 85 0F       STA $0F       [000E77] A:DF80 X:0002 Y:0001 S:0127 D:0E68 DB:AF NvMXdizc V:248 H:182 F:25	CDAction = #$80
				848F46 C8          INY                    A:DF80 X:0002 Y:0001 S:0127 D:0E68 DB:AF NvMXdizc V:248 H:189 F:25
				848F47 B1 14       LDA ($14),Y   [AFDF97] A:DF80 X:0002 Y:0002 S:0127 D:0E68 DB:AF nvMXdizc V:248 H:192 F:25
				848F49 85 17       STA $17       [000E7F] A:DF17 X:0002 Y:0002 S:0127 D:0E68 DB:AF nvMXdizc V:248 H:202 F:25
				848F4B A9 80       LDA #$80               A:DF17 X:0002 Y:0002 S:0127 D:0E68 DB:AF nvMXdizc V:248 H:208 F:25
				848F4D 04 17       TSB $17       [000E7F] A:DF80 X:0002 Y:0002 S:0127 D:0E68 DB:AF NvMXdizc V:248 H:211 F:25
				848F4F AB          PLB                    A:DF80 X:0002 Y:0002 S:0127 D:0E68 DB:AF NvMXdiZc V:248 H:221 F:25
				848F50 28          PLP                    A:DF80 X:0002 Y:0002 S:0128 D:0E68 DB:86 NvMXdizc V:248 H:228 F:25
				848F51 6B          RTL                    A:DF80 X:0002 Y:0002 S:0129 D:0E68 DB:86 nvMXdizc V:248 H:234 F:25

			88A0D2 A5 0F       LDA $0F       [000E77] A:DF80 X:0002 Y:0002 S:012C D:0E68 DB:86 nvMXdizc V:248 H:245 F:25
			88A0D4 10 29       BPL $0029     [88A0FF] A:DF80 X:0002 Y:0002 S:012C D:0E68 DB:86 NvMXdizc V:248 H:251 F:25		Branch if CDAction is positive
			88A0D6 22 3E 82 82 JSL $82823E   [82823E] A:DF80 X:0002 Y:0002 S:012C D:0E68 DB:86 NvMXdizc V:248 H:254 F:25		JSL $82823E --> Update X-Pos, X-Vel

				82823E 08          PHP                    A:DF80 X:0002 Y:0002 S:0129 D:0E68 DB:86 NvMXdizc V:248 H:268 F:25
				82823F C2 21       REP #$21               A:DF80 X:0002 Y:0002 S:0128 D:0E68 DB:86 NvMXdizc V:248 H:273 F:25
				828241 A5 04       LDA $04       [000E6C] A:DF80 X:0002 Y:0002 S:0128 D:0E68 DB:86 NvmXdizc V:248 H:277 F:25
				828243 65 1A       ADC $1A       [000E82] A:4400 X:0002 Y:0002 S:0128 D:0E68 DB:86 nvmXdizc V:248 H:286 F:25
				828245 85 04       STA $04       [000E6C] A:4800 X:0002 Y:0002 S:0128 D:0E68 DB:86 nvmXdizc V:248 H:294 F:25
				828247 E2 20       SEP #$20               A:4800 X:0002 Y:0002 S:0128 D:0E68 DB:86 nvmXdizc V:248 H:303 F:25
				828249 24 1B       BIT $1B       [000E83] A:4800 X:0002 Y:0002 S:0128 D:0E68 DB:86 nvMXdizc V:248 H:307 F:25
				82824B 30 08       BMI $0008     [828255] A:4800 X:0002 Y:0002 S:0128 D:0E68 DB:86 nvMXdiZc V:248 H:314 F:25
				82824D A5 06       LDA $06       [000E6E] A:4800 X:0002 Y:0002 S:0128 D:0E68 DB:86 nvMXdiZc V:248 H:317 F:25
				82824F 69 00       ADC #$00               A:481D X:0002 Y:0002 S:0128 D:0E68 DB:86 nvMXdizc V:248 H:323 F:25
				828251 85 06       STA $06       [000E6E] A:481D X:0002 Y:0002 S:0128 D:0E68 DB:86 nvMXdizc V:248 H:326 F:25
				828253 28          PLP                    A:481D X:0002 Y:0002 S:0128 D:0E68 DB:86 nvMXdizc V:248 H:332 F:25
				828254 6B          RTL                    A:481D X:0002 Y:0002 S:0129 D:0E68 DB:86 NvMXdizc V:248 H:338 F:25

			88A0DA C2 20       REP #$20               A:481D X:0002 Y:0002 S:012C D:0E68 DB:86 NvMXdizc V:249 H:  9 F:25
			88A0DC A9 D1 CF    LDA #$CFD1             A:481D X:0002 Y:0002 S:012C D:0E68 DB:86 NvmXdizc V:249 H: 13 F:25		E-Hitboxpoint = #$CFD1
			88A0DF 85 20       STA $20       [000E88] A:CFD1 X:0002 Y:0002 S:012C D:0E68 DB:86 NvmXdizc V:249 H: 18 F:25
			88A0E1 E2 20       SEP #$20               A:CFD1 X:0002 Y:0002 S:012C D:0E68 DB:86 NvmXdizc V:249 H: 26 F:25
			88A0E3 22 BE 91 84 JSL $8491BE   [8491BE] A:CFD1 X:0002 Y:0002 S:012C D:0E68 DB:86 NvMXdizc V:249 H: 31 F:25		JSL $8491BE --> Check for colissions and adjust position

				8491BE 08          PHP                    A:CFD1 X:0002 Y:0002 S:0129 D:0E68 DB:86 NvMXdizc V:249 H: 44 F:25
				8491BF 0B          PHD                    A:CFD1 X:0002 Y:0002 S:0128 D:0E68 DB:86 NvMXdizc V:249 H: 49 F:25
				8491C0 C2 30       REP #$30               A:CFD1 X:0002 Y:0002 S:0126 D:0E68 DB:86 NvMXdizc V:249 H: 56 F:25
				8491C2 A5 20       LDA $20       [000E88] A:CFD1 X:0002 Y:0002 S:0126 D:0E68 DB:86 Nvmxdizc V:249 H: 61 F:25
				8491C4 F0 15       BEQ $0015     [8491DB] A:CFD1 X:0002 Y:0002 S:0126 D:0E68 DB:86 Nvmxdizc V:249 H: 69 F:25
				8491C6 7B          TDC                    A:CFD1 X:0002 Y:0002 S:0126 D:0E68 DB:86 Nvmxdizc V:249 H: 72 F:25
				8491C7 AA          TAX                    A:0E68 X:0002 Y:0002 S:0126 D:0E68 DB:86 nvmxdizc V:249 H: 75 F:25
				8491C8 A9 00 00    LDA #$0000             A:0E68 X:0E68 Y:0002 S:0126 D:0E68 DB:86 nvmxdizc V:249 H: 78 F:25
				8491CB 5B          TCD                    A:0000 X:0E68 Y:0002 S:0126 D:0E68 DB:86 nvmxdiZc V:249 H: 83 F:25
				8491CC 64 14       STZ $14       [000014] A:0000 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdiZc V:249 H: 86 F:25
				8491CE B5 2B       LDA $2B,X     [000E93] A:0000 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdiZc V:249 H: 93 F:25
				8491D0 29 00 FF    AND #$FF00             A:0004 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdizc V:249 H:101 F:25
				8491D3 95 2B       STA $2B,X     [000E93] A:0000 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdiZc V:249 H:106 F:25
				8491D5 20 AC 92    JSR $92AC     [8492AC] A:0000 X:0E68 Y:0002 S:0126 D:0000 DB:86 nvmxdiZc V:249 H:114 F:25

					8492AC C2 30       REP #$30               A:0000 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdiZc V:249 H:124 F:25
					8492AE B5 05       LDA $05,X     [000E6D] A:0000 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdiZc V:249 H:129 F:25
					8492B0 38          SEC                    A:1D48 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdizc V:249 H:147 F:25
					8492B1 F5 22       SBC $22,X     [000E8A] A:1D48 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdizC V:249 H:150 F:25
					8492B3 85 00       STA $00       [000000] A:0004 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdizC V:249 H:159 F:25
					8492B5 E2 20       SEP #$20               A:0004 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvmxdizC V:249 H:166 F:25
					8492B7 F0 4C       BEQ $004C     [849305] A:0004 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvMxdizC V:249 H:170 F:25
					8492B9 B4 20       LDY $20,X     [000E88] A:0004 X:0E68 Y:0002 S:0124 D:0000 DB:86 nvMxdizC V:249 H:173 F:25
					8492BB B9 05 00    LDA $0005,Y   [86CFD6] A:0004 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizC V:249 H:182 F:25
					8492BE 34 11       BIT $11,X     [000E79] A:00E8 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizC V:249 H:189 F:25
					8492C0 50 03       BVC $0003     [8492C5] A:00E8 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nVMxdizC V:249 H:196 F:25
					8492C2 49 FF       EOR #$FF               A:00E8 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nVMxdizC V:249 H:199 F:25
					8492C4 1A          INC                    A:0017 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nVMxdizC V:249 H:202 F:25
					8492C5 24 00       BIT $00       [000000] A:0018 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nVMxdizC V:249 H:205 F:25
					8492C7 10 06       BPL $0006     [8492CF] A:0018 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nvMxdiZC V:249 H:210 F:25
					8492CF 18          CLC                    A:0018 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nvMxdiZC V:249 H:214 F:25
					8492D0 79 07 00    ADC $0007,Y   [86CFD8] A:0018 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nvMxdiZc V:249 H:217 F:25
