80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00BC S:0133 D:0E68 DB:86 nvMXdizC V:247 H:212 F:55
				82824B 30 08       BMI $0008     [828255] A:C000 X:0002 Y:00BC S:0128 D:0E68 DB:86 nvMXdiZc V:248 H:197 F:55
				82824D A5 06       LDA $06       [000E6E] A:C000 X:0002 Y:00BC S:0128 D:0E68 DB:86 nvMXdiZc V:248 H:200 F:55
				82824F 69 00       ADC #$00               A:C01D X:0002 Y:00BC S:0128 D:0E68 DB:86 nvMXdizc V:248 H:207 F:55
				828251 85 06       STA $06       [000E6E] A:C01D X:0002 Y:00BC S:0128 D:0E68 DB:86 nvMXdizc V:248 H:210 F:55
				828253 28          PLP                    A:C01D X:0002 Y:00BC S:0128 D:0E68 DB:86 nvMXdizc V:248 H:216 F:55
				828254 6B          RTL                    A:C01D X:0002 Y:00BC S:0129 D:0E68 DB:86 NvMXdizc V:248 H:223 F:55

			88A0DA C2 20       REP #$20               A:C01D X:0002 Y:00BC S:012C D:0E68 DB:86 NvMXdizc V:248 H:233 F:55
			88A0DC A9 D1 CF    LDA #$CFD1             A:C01D X:0002 Y:00BC S:012C D:0E68 DB:86 NvmXdizc V:248 H:238 F:55		E-HitboxPoint = #$CFD1
			88A0DF 85 20       STA $20       [000E88] A:CFD1 X:0002 Y:00BC S:012C D:0E68 DB:86 NvmXdizc V:248 H:242 F:55
			88A0E1 E2 20       SEP #$20               A:CFD1 X:0002 Y:00BC S:012C D:0E68 DB:86 NvmXdizc V:248 H:251 F:55
			88A0E3 22 BE 91 84 JSL $8491BE   [8491BE] A:CFD1 X:0002 Y:00BC S:012C D:0E68 DB:86 NvMXdizc V:248 H:255 F:55		JSL $8491BE --> Check for colissions and adjust position

				8491BE 08          PHP                    A:CFD1 X:0002 Y:00BC S:0129 D:0E68 DB:86 NvMXdizc V:248 H:269 F:55
				8491BF 0B          PHD                    A:CFD1 X:0002 Y:00BC S:0128 D:0E68 DB:86 NvMXdizc V:248 H:274 F:55
