80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0008 S:0133 D:0E68 DB:86 nvMXdizC V:250 H:181 F:32

	80D530 C2 20       REP #$20               A:0E01 X:0000 Y:0008 S:0131 D:0E68 DB:86 nvMXdizC V:250 H:191 F:32
	80D532 A5 05       LDA $05       [000E6D] A:0E01 X:0000 Y:0008 S:0131 D:0E68 DB:86 nvmXdizC V:250 H:195 F:32
	80D534 85 22       STA $22       [000E8A] A:1D22 X:0000 Y:0008 S:0131 D:0E68 DB:86 nvmXdizC V:250 H:204 F:32
	80D536 A5 08       LDA $08       [000E70] A:1D22 X:0000 Y:0008 S:0131 D:0E68 DB:86 nvmXdizC V:250 H:212 F:32
	80D538 85 24       STA $24       [000E8C] A:039F X:0000 Y:0008 S:0131 D:0E68 DB:86 nvmXdizC V:250 H:221 F:32
	80D53A E2 20       SEP #$20               A:039F X:0000 Y:0008 S:0131 D:0E68 DB:86 nvmXdizC V:250 H:229 F:32
	80D53C A9 80       LDA #$80               A:039F X:0000 Y:0008 S:0131 D:0E68 DB:86 nvMXdizC V:250 H:234 F:32
	80D53E 14 0E       TRB $0E       [000E76] A:0380 X:0000 Y:0008 S:0131 D:0E68 DB:86 NvMXdizC V:250 H:237 F:32
	80D540 A5 0A       LDA $0A       [000E72] A:0380 X:0000 Y:0008 S:0131 D:0E68 DB:86 NvMXdizC V:250 H:247 F:32
	80D542 0A          ASL A                  A:0331 X:0000 Y:0008 S:0131 D:0E68 DB:86 nvMXdizC V:250 H:253 F:32
	80D543 AA          TAX                    A:0362 X:0000 Y:0008 S:0131 D:0E68 DB:86 nvMXdizc V:250 H:256 F:32
	80D544 7C DD F8    JMP ($F8DD,X) [80F93F] A:0362 X:0062 Y:0008 S:0131 D:0E68 DB:86 nvMXdizc V:250 H:259 F:32

	80FAA6 22 E1 9B 88 JSL $889BE1   [889BE1] A:0362 X:0062 Y:0008 S:0131 D:0E68 DB:86 nvMXdizc V:250 H:268 F:32

		889BE1 A6 01       LDX $01       [000E69] A:0362 X:0062 Y:0008 S:012E D:0E68 DB:86 nvMXdizc V:250 H:282 F:32
