80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0008 S:0133 D:0E68 DB:86 nvMXdizC V:249 H:242 F:37
				82821B 3A          DEC                    A:3B00 X:0004 Y:0008 S:0128 D:0E68 DB:86 NVMXdiZC V:250 H:207 F:37
				82821C 65 06       ADC $06       [000E6E] A:3BFF X:0004 Y:0008 S:0128 D:0E68 DB:86 NVMXdizC V:250 H:210 F:37
				82821E 85 06       STA $06       [000E6E] A:3B1D X:0004 Y:0008 S:0128 D:0E68 DB:86 nvMXdizC V:250 H:217 F:37
				828220 C2 20       REP #$20               A:3B1D X:0004 Y:0008 S:0128 D:0E68 DB:86 nvMXdizC V:250 H:223 F:37
				828222 38          SEC                    A:3B1D X:0004 Y:0008 S:0128 D:0E68 DB:86 nvmXdizC V:250 H:228 F:37
				828223 A5 07       LDA $07       [000E6F] A:3B1D X:0004 Y:0008 S:0128 D:0E68 DB:86 nvmXdizC V:250 H:231 F:37
				828225 E5 1C       SBC $1C       [000E84] A:A22C X:0004 Y:0008 S:0128 D:0E68 DB:86 NvmXdizC V:250 H:239 F:37
				828227 85 07       STA $07       [000E6F] A:9B5F X:0004 Y:0008 S:0128 D:0E68 DB:86 NvmXdizC V:250 H:248 F:37
				828229 E2 20       SEP #$20               A:9B5F X:0004 Y:0008 S:0128 D:0E68 DB:86 NvmXdizC V:250 H:256 F:37
				82822B 9C 00 00    STZ $0000     [860000] A:9B5F X:0004 Y:0008 S:0128 D:0E68 DB:86 NvMXdizC V:250 H:261 F:37
				82822E 24 1D       BIT $1D       [000E85] A:9B5F X:0004 Y:0008 S:0128 D:0E68 DB:86 NvMXdizC V:250 H:267 F:37
				828230 10 03       BPL $0003     [828235] A:9B5F X:0004 Y:0008 S:0128 D:0E68 DB:86 nvMXdizC V:250 H:274 F:37
				828235 A5 09       LDA $09       [000E71] A:9B5F X:0004 Y:0008 S:0128 D:0E68 DB:86 nvMXdizC V:250 H:278 F:37
				828237 ED 00 00    SBC $0000     [860000] A:9B03 X:0004 Y:0008 S:0128 D:0E68 DB:86 nvMXdizC V:250 H:285 F:37
				82823A 85 09       STA $09       [000E71] A:9B03 X:0004 Y:0008 S:0128 D:0E68 DB:86 nvMXdizC V:250 H:291 F:37
				82823C 28          PLP                    A:9B03 X:0004 Y:0008 S:0128 D:0E68 DB:86 nvMXdizC V:250 H:298 F:37
				82823D 6B          RTL                    A:9B03 X:0004 Y:0008 S:0129 D:0E68 DB:86 nvMXdizc V:250 H:304 F:37

			88A1B8 C2 20       REP #$20               A:9B03 X:0004 Y:0008 S:012C D:0E68 DB:86 nvMXdizc V:250 H:315 F:37
			88A1BA A9 B8 CF    LDA #$CFB8             A:9B03 X:0004 Y:0008 S:012C D:0E68 DB:86 nvmXdizc V:250 H:319 F:37
			88A1BD 85 20       STA $20       [000E88] A:CFB8 X:0004 Y:0008 S:012C D:0E68 DB:86 NvmXdizc V:250 H:323 F:37
			88A1BF E2 20       SEP #$20               A:CFB8 X:0004 Y:0008 S:012C D:0E68 DB:86 NvmXdizc V:250 H:331 F:37
