80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:009B S:0133 D:0E68 DB:86 nvMXdizC V:247 H:163 F:14
			879008 85 05       STA $05       [000E6D] A:076D X:0008 Y:009B S:012C D:0E68 DB:86 nvmXdizC V:248 H: 79 F:14		|
			87900A E2 20       SEP #$20               A:076D X:0008 Y:009B S:012C D:0E68 DB:86 nvmXdizC V:248 H: 88 F:14
			87900C 22 BE 91 84 JSL $8491BE   [8491BE] A:076D X:0008 Y:009B S:012C D:0E68 DB:86 nvMXdizC V:248 H: 92 F:14		JSL $8491BE --> Check for colissions, adjust position, update Contact

				8491BE 08          PHP                    A:076D X:0008 Y:009B S:0129 D:0E68 DB:86 nvMXdizC V:248 H:106 F:14
				8491BF 0B          PHD                    A:076D X:0008 Y:009B S:0128 D:0E68 DB:86 nvMXdizC V:248 H:111 F:14
				8491C0 C2 30       REP #$30               A:076D X:0008 Y:009B S:0126 D:0E68 DB:86 nvMXdizC V:248 H:118 F:14
				8491C2 A5 20       LDA $20       [000E88] A:076D X:0008 Y:009B S:0126 D:0E68 DB:86 nvmxdizC V:248 H:122 F:14
				8491C4 F0 15       BEQ $0015     [8491DB] A:C58D X:0008 Y:009B S:0126 D:0E68 DB:86 NvmxdizC V:248 H:131 F:14
				8491C6 7B          TDC                    A:C58D X:0008 Y:009B S:0126 D:0E68 DB:86 NvmxdizC V:248 H:144 F:14
				8491C7 AA          TAX                    A:0E68 X:0008 Y:009B S:0126 D:0E68 DB:86 nvmxdizC V:248 H:147 F:14
				8491C8 A9 00 00    LDA #$0000             A:0E68 X:0E68 Y:009B S:0126 D:0E68 DB:86 nvmxdizC V:248 H:150 F:14
				8491CB 5B          TCD                    A:0000 X:0E68 Y:009B S:0126 D:0E68 DB:86 nvmxdiZC V:248 H:154 F:14
				8491CC 64 14       STZ $14       [000014] A:0000 X:0E68 Y:009B S:0126 D:0000 DB:86 nvmxdiZC V:248 H:157 F:14
				8491CE B5 2B       LDA $2B,X     [000E93] A:0000 X:0E68 Y:009B S:0126 D:0000 DB:86 nvmxdiZC V:248 H:164 F:14
				8491D0 29 00 FF    AND #$FF00             A:0004 X:0E68 Y:009B S:0126 D:0000 DB:86 nvmxdizC V:248 H:173 F:14
				8491D3 95 2B       STA $2B,X     [000E93] A:0000 X:0E68 Y:009B S:0126 D:0000 DB:86 nvmxdiZC V:248 H:177 F:14
				8491D5 20 AC 92    JSR $92AC     [8492AC] A:0000 X:0E68 Y:009B S:0126 D:0000 DB:86 nvmxdiZC V:248 H:186 F:14

				8492AC C2 30       REP #$30               A:0000 X:0E68 Y:009B S:0124 D:0000 DB:86 nvmxdiZC V:248 H:196 F:14
				8492AE B5 05       LDA $05,X     [000E6D] A:0000 X:0E68 Y:009B S:0124 D:0000 DB:86 nvmxdiZC V:248 H:200 F:14
				8492B0 38          SEC                    A:076D X:0E68 Y:009B S:0124 D:0000 DB:86 nvmxdizC V:248 H:209 F:14
				8492B1 F5 22       SBC $22,X     [000E8A] A:076D X:0E68 Y:009B S:0124 D:0000 DB:86 nvmxdizC V:248 H:212 F:14
				8492B3 85 00       STA $00       [000000] A:FFFE X:0E68 Y:009B S:0124 D:0000 DB:86 Nvmxdizc V:248 H:220 F:14
				8492B5 E2 20       SEP #$20               A:FFFE X:0E68 Y:009B S:0124 D:0000 DB:86 Nvmxdizc V:248 H:227 F:14
				8492B7 F0 4C       BEQ $004C     [849305] A:FFFE X:0E68 Y:009B S:0124 D:0000 DB:86 NvMxdizc V:248 H:232 F:14
				8492B9 B4 20       LDY $20,X     [000E88] A:FFFE X:0E68 Y:009B S:0124 D:0000 DB:86 NvMxdizc V:248 H:235 F:14
				8492BB B9 05 00    LDA $0005,Y   [86C592] A:FFFE X:0E68 Y:C58D S:0124 D:0000 DB:86 NvMxdizc V:248 H:243 F:14
				8492BE 34 11       BIT $11,X     [000E79] A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 nvMxdiZc V:248 H:251 F:14
				8492C0 50 03       BVC $0003     [8492C5] A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 nVMxdiZc V:248 H:257 F:14
				8492C2 49 FF       EOR #$FF               A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 nVMxdiZc V:248 H:260 F:14
				8492C4 1A          INC                    A:FFFF X:0E68 Y:C58D S:0124 D:0000 DB:86 NVMxdizc V:248 H:263 F:14
				8492C5 24 00       BIT $00       [000000] A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 nVMxdiZc V:248 H:266 F:14
				8492C7 10 06       BPL $0006     [8492CF] A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 NVMxdiZc V:248 H:271 F:14
				8492C9 38          SEC                    A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 NVMxdiZc V:248 H:274 F:14
				8492CA F9 07 00    SBC $0007,Y   [86C594] A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 NVMxdiZC V:248 H:277 F:14
				8492CD 80 04       BRA $0004     [8492D3] A:FFF4 X:0E68 Y:C58D S:0124 D:0000 DB:86 NvMxdizc V:248 H:285 F:14
