80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0091 S:0133 D:0E68 DB:86 nvMXdizC V:247 H:164 F: 0
				8491C6 7B          TDC                    A:C58D X:0004 Y:0091 S:0126 D:0E68 DB:86 Nvmxdizc V:248 H:149 F: 0
				8491C7 AA          TAX                    A:0E68 X:0004 Y:0091 S:0126 D:0E68 DB:86 nvmxdizc V:248 H:152 F: 0
				8491C8 A9 00 00    LDA #$0000             A:0E68 X:0E68 Y:0091 S:0126 D:0E68 DB:86 nvmxdizc V:248 H:155 F: 0
				8491CB 5B          TCD                    A:0000 X:0E68 Y:0091 S:0126 D:0E68 DB:86 nvmxdiZc V:248 H:160 F: 0
				8491CC 64 14       STZ $14       [000014] A:0000 X:0E68 Y:0091 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:163 F: 0
				8491CE B5 2B       LDA $2B,X     [000E93] A:0000 X:0E68 Y:0091 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:170 F: 0
				8491D0 29 00 FF    AND #$FF00             A:0000 X:0E68 Y:0091 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:178 F: 0
				8491D3 95 2B       STA $2B,X     [000E93] A:0000 X:0E68 Y:0091 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:183 F: 0
				8491D5 20 AC 92    JSR $92AC     [8492AC] A:0000 X:0E68 Y:0091 S:0126 D:0000 DB:86 nvmxdiZc V:248 H:191 F: 0

				8492AC C2 30       REP #$30               A:0000 X:0E68 Y:0091 S:0124 D:0000 DB:86 nvmxdiZc V:248 H:201 F: 0
				8492AE B5 05       LDA $05,X     [000E6D] A:0000 X:0E68 Y:0091 S:0124 D:0000 DB:86 nvmxdiZc V:248 H:206 F: 0
				8492B0 38          SEC                    A:07CC X:0E68 Y:0091 S:0124 D:0000 DB:86 nvmxdizc V:248 H:214 F: 0
				8492B1 F5 22       SBC $22,X     [000E8A] A:07CC X:0E68 Y:0091 S:0124 D:0000 DB:86 nvmxdizC V:248 H:217 F: 0
				8492B3 85 00       STA $00       [000000] A:FFFC X:0E68 Y:0091 S:0124 D:0000 DB:86 Nvmxdizc V:248 H:226 F: 0
				8492B5 E2 20       SEP #$20               A:FFFC X:0E68 Y:0091 S:0124 D:0000 DB:86 Nvmxdizc V:248 H:233 F: 0
				8492B7 F0 4C       BEQ $004C     [849305] A:FFFC X:0E68 Y:0091 S:0124 D:0000 DB:86 NvMxdizc V:248 H:237 F: 0
				8492B9 B4 20       LDY $20,X     [000E88] A:FFFC X:0E68 Y:0091 S:0124 D:0000 DB:86 NvMxdizc V:248 H:240 F: 0
				8492BB B9 05 00    LDA $0005,Y   [86C592] A:FFFC X:0E68 Y:C58D S:0124 D:0000 DB:86 NvMxdizc V:248 H:249 F: 0
				8492BE 34 11       BIT $11,X     [000E79] A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 nvMxdiZc V:248 H:256 F: 0
				8492C0 50 03       BVC $0003     [8492C5] A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 nvMxdiZc V:248 H:263 F: 0
				8492C5 24 00       BIT $00       [000000] A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 nvMxdiZc V:248 H:267 F: 0
				8492C7 10 06       BPL $0006     [8492CF] A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 NVMxdiZc V:248 H:272 F: 0
				8492C9 38          SEC                    A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 NVMxdiZc V:248 H:275 F: 0
				8492CA F9 07 00    SBC $0007,Y   [86C594] A:FF00 X:0E68 Y:C58D S:0124 D:0000 DB:86 NVMxdiZC V:248 H:278 F: 0
				8492CD 80 04       BRA $0004     [8492D3] A:FFF4 X:0E68 Y:C58D S:0124 D:0000 DB:86 NvMxdizc V:248 H:286 F: 0
				8492D3 95 29       STA $29,X     [000E91] A:FFF4 X:0E68 Y:C58D S:0124 D:0000 DB:86 NvMxdizc V:248 H:290 F: 0
				8492D5 B9 06 00    LDA $0006,Y   [86C593] A:FFF4 X:0E68 Y:C58D S:0124 D:0000 DB:86 NvMxdizc V:248 H:297 F: 0
				8492D8 95 2A       STA $2A,X     [000E92] A:FF02 X:0E68 Y:C58D S:0124 D:0000 DB:86 nvMxdizc V:248 H:304 F: 0
				8492DA 20 15 93    JSR $9315     [849315] A:FF02 X:0E68 Y:C58D S:0124 D:0000 DB:86 nvMxdizc V:248 H:311 F: 0

				849315 20 B3 90    JSR $90B3     [8490B3] A:FF02 X:0E68 Y:C58D S:0122 D:0000 DB:86 nvMxdizc V:248 H:321 F: 0

				8490B3 0B          PHD                    A:FF02 X:0E68 Y:C58D S:0120 D:0000 DB:86 nvMxdizc V:248 H:330 F: 0
				8490B4 DA          PHX                    A:FF02 X:0E68 Y:C58D S:011E D:0000 DB:86 nvMxdizc V:248 H:337 F: 0
				8490B5 08          PHP                    A:FF02 X:0E68 Y:C58D S:011C D:0000 DB:86 nvMxdizc V:249 H:  4 F: 0
				8490B6 E2 20       SEP #$20               A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:  9 F: 0
				8490B8 C2 10       REP #$10               A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H: 13 F: 0
				8490BA 64 01       STZ $01       [000001] A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H: 18 F: 0
				8490BC B5 29       LDA $29,X     [000E91] A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H: 23 F: 0
				8490BE 10 02       BPL $0002     [8490C2] A:FFF4 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H: 29 F: 0
				8490C0 C6 01       DEC $01       [000001] A:FFF4 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H: 32 F: 0
				8490C2 18          CLC                    A:FFF4 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H: 41 F: 0
				8490C3 75 05       ADC $05,X     [000E6D] A:FFF4 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H: 44 F: 0
				8490C5 85 00       STA $00       [000000] A:FFC0 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizC V:249 H: 50 F: 0
				8490C7 B5 06       LDA $06,X     [000E6E] A:FFC0 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizC V:249 H: 55 F: 0
				8490C9 65 01       ADC $01       [000001] A:FF07 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 62 F: 0
				8490CB 85 01       STA $01       [000001] A:FF07 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 67 F: 0
				8490CD 64 03       STZ $03       [000003] A:FF07 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 72 F: 0
				8490CF B5 2A       LDA $2A,X     [000E92] A:FF07 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 77 F: 0
				8490D1 10 02       BPL $0002     [8490D5] A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 83 F: 0
				8490D5 18          CLC                    A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizC V:249 H: 88 F: 0
				8490D6 75 08       ADC $08,X     [000E70] A:FF02 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H: 91 F: 0
				8490D8 85 02       STA $02       [000002] A:FFAA X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H: 97 F: 0
				8490DA 29 F0       AND #$F0               A:FFAA X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H:102 F: 0
				8490DC 85 0A       STA $0A       [00000A] A:FFA0 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H:105 F: 0
				8490DE B5 09       LDA $09,X     [000E71] A:FFA0 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H:110 F: 0
				8490E0 65 03       ADC $03       [000003] A:FF00 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdiZc V:249 H:117 F: 0
				8490E2 85 03       STA $03       [000003] A:FF00 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdiZc V:249 H:122 F: 0
				8490E4 85 0B       STA $0B       [00000B] A:FF00 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdiZc V:249 H:127 F: 0
				8490E6 A5 00       LDA $00       [000000] A:FF00 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdiZc V:249 H:132 F: 0
				8490E8 29 0F       AND #$0F               A:FFC0 X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H:147 F: 0
				8490EA 1A          INC                    A:FF00 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdiZc V:249 H:150 F: 0
				8490EB 85 0C       STA $0C       [00000C] A:FF01 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:153 F: 0
				8490ED A5 02       LDA $02       [000002] A:FF01 X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:158 F: 0
				8490EF 29 0F       AND #$0F               A:FFAA X:0E68 Y:C58D S:011B D:0000 DB:86 NvMxdizc V:249 H:163 F: 0
				8490F1 1A          INC                    A:FF0A X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:166 F: 0
				8490F2 85 0E       STA $0E       [00000E] A:FF0B X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:169 F: 0
				8490F4 C2 20       REP #$20               A:FF0B X:0E68 Y:C58D S:011B D:0000 DB:86 nvMxdizc V:249 H:174 F: 0
				8490F6 20 6A 91    JSR $916A     [84916A] A:FF0B X:0E68 Y:C58D S:011B D:0000 DB:86 nvmxdizc V:249 H:178 F: 0

				84916A A9 00 E8    LDA #$E800             A:FF0B X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:188 F: 0
				84916D 85 10       STA $10       [000010] A:E800 X:0E68 Y:C58D S:0119 D:0000 DB:86 Nvmxdizc V:249 H:193 F: 0
				84916F A9 7E 00    LDA #$007E             A:E800 X:0E68 Y:C58D S:0119 D:0000 DB:86 Nvmxdizc V:249 H:200 F: 0
				849172 85 12       STA $12       [000012] A:007E X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:204 F: 0
				849174 A5 02       LDA $02       [000002] A:007E X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:211 F: 0
				849176 29 F0 00    AND #$00F0             A:00AA X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:218 F: 0
				849179 0A          ASL A                  A:00A0 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:223 F: 0
				84917A 85 04       STA $04       [000004] A:0140 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:226 F: 0
				84917C A5 00       LDA $00       [000000] A:0140 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:233 F: 0
				84917E 29 FF 00    AND #$00FF             A:07C0 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:240 F: 0
				849181 4A          LSR A                  A:00C0 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:244 F: 0
				849182 4A          LSR A                  A:0060 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:247 F: 0
				849183 4A          LSR A                  A:0030 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:250 F: 0
				849184 29 FE FF    AND #$FFFE             A:0018 X:0E68 Y:C58D S:0119 D:0000 DB:86 nvmxdizc V:249 H:253 F: 0
