80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0027 S:0133 D:0E68 DB:86 nvMXdizC V:248 H:323 F:25
					8492C0 50 03       BVC $0003     [8492C5] A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nVMxdiZC V:250 H:236 F:25
					8492C2 49 FF       EOR #$FF               A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nVMxdiZC V:250 H:239 F:25
					8492C4 1A          INC                    A:00FF X:0E68 Y:C42D S:0124 D:0000 DB:86 NVMxdizC V:250 H:242 F:25
					8492C5 24 00       BIT $00       [000000] A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nVMxdiZC V:250 H:245 F:25
					8492C7 10 06       BPL $0006     [8492CF] A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdiZC V:250 H:250 F:25
					8492CF 18          CLC                    A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdiZC V:250 H:254 F:25
					8492D0 79 07 00    ADC $0007,Y   [86C434] A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdiZc V:250 H:257 F:25
					8492D3 95 29       STA $29,X     [000E91] A:000E X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdizc V:250 H:265 F:25
					8492D5 B9 06 00    LDA $0006,Y   [86C433] A:000E X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdizc V:250 H:271 F:25
					8492D8 95 2A       STA $2A,X     [000E92] A:0002 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdizc V:250 H:279 F:25
					8492DA 20 15 93    JSR $9315     [849315] A:0002 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdizc V:250 H:285 F:25

						849315 20 B3 90    JSR $90B3     [8490B3] A:0002 X:0E68 Y:C42D S:0122 D:0000 DB:86 nvMxdizc V:250 H:295 F:25

							8490B3 0B          PHD                    A:0002 X:0E68 Y:C42D S:0120 D:0000 DB:86 nvMxdizc V:250 H:305 F:25
							8490B4 DA          PHX                    A:0002 X:0E68 Y:C42D S:011E D:0000 DB:86 nvMxdizc V:250 H:312 F:25
							8490B5 08          PHP                    A:0002 X:0E68 Y:C42D S:011C D:0000 DB:86 nvMxdizc V:250 H:319 F:25
