80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0027 S:0133 D:0E68 DB:86 nvMXdizC V:248 H:241 F: 8
			81BA0F 64 38       STZ $38       [000EA0] A:0040 X:0000 Y:0027 S:012C D:0E68 DB:86 nvMXdiZc V:249 H:201 F: 8		Set Armor
			81BA11 C2 30       REP #$30               A:0040 X:0000 Y:0027 S:012C D:0E68 DB:86 nvMXdiZc V:249 H:208 F: 8
			81BA13 A2 28 14    LDX #$1428             A:0040 X:0000 Y:0027 S:012C D:0E68 DB:86 nvmxdiZc V:249 H:212 F: 8		X = EnemyShot1
			81BA16 E2 20       SEP #$20               A:0040 X:1428 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:249 H:217 F: 8
			81BA18 BD 00 00    LDA $0000,X   [861428] A:0040 X:1428 Y:0027 S:012C D:0E68 DB:86 nvMxdizc V:249 H:221 F: 8
			81BA1B F0 17       BEQ $0017     [81BA34] A:0000 X:1428 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:249 H:229 F: 8		Branch because ES-Exist = #$00
			81BA34 C2 20       REP #$20               A:0000 X:1428 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:249 H:234 F: 8
			81BA36 8A          TXA                    A:0000 X:1428 Y:0027 S:012C D:0E68 DB:86 nvmxdiZc V:249 H:238 F: 8	
			81BA37 18          CLC                    A:1428 X:1428 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:249 H:241 F: 8
			81BA38 69 40 00    ADC #$0040             A:1428 X:1428 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:249 H:244 F: 8
			81BA3B AA          TAX                    A:1468 X:1428 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:249 H:249 F: 8		X = Next EnemyShot
			81BA3C C9 28 16    CMP #$1628             A:1468 X:1468 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:249 H:252 F: 8
			81BA3F 90 D5       BCC $00D5     [81BA16] A:1468 X:1468 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:249 H:256 F: 8		Branch (repeat) until last EnemyShot Data
			81BA16 E2 20       SEP #$20               A:1468 X:1468 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:249 H:261 F: 8
			81BA18 BD 00 00    LDA $0000,X   [861468] A:1468 X:1468 Y:0027 S:012C D:0E68 DB:86 NvMxdizc V:249 H:265 F: 8
			81BA1B F0 17       BEQ $0017     [81BA34] A:1400 X:1468 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:249 H:273 F: 8
			81BA34 C2 20       REP #$20               A:1400 X:1468 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:249 H:278 F: 8
			81BA36 8A          TXA                    A:1400 X:1468 Y:0027 S:012C D:0E68 DB:86 nvmxdiZc V:249 H:282 F: 8
			81BA37 18          CLC                    A:1468 X:1468 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:249 H:285 F: 8
			81BA38 69 40 00    ADC #$0040             A:1468 X:1468 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:249 H:288 F: 8
			81BA3B AA          TAX                    A:14A8 X:1468 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:249 H:293 F: 8
			81BA3C C9 28 16    CMP #$1628             A:14A8 X:14A8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:249 H:296 F: 8
			81BA3F 90 D5       BCC $00D5     [81BA16] A:14A8 X:14A8 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:249 H:300 F: 8
			81BA16 E2 20       SEP #$20               A:14A8 X:14A8 Y:0027 S:012C D:0E68 DB:86 Nvmxdizc V:249 H:305 F: 8
			81BA18 BD 00 00    LDA $0000,X   [8614A8] A:14A8 X:14A8 Y:0027 S:012C D:0E68 DB:86 NvMxdizc V:249 H:309 F: 8
			81BA1B F0 17       BEQ $0017     [81BA34] A:1400 X:14A8 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:249 H:317 F: 8
			81BA34 C2 20       REP #$20               A:1400 X:14A8 Y:0027 S:012C D:0E68 DB:86 nvMxdiZc V:249 H:322 F: 8
			81BA36 8A          TXA                    A:1400 X:14A8 Y:0027 S:012C D:0E68 DB:86 nvmxdiZc V:249 H:326 F: 8
			81BA37 18          CLC                    A:14A8 X:14A8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:249 H:328 F: 8
			81BA38 69 40 00    ADC #$0040             A:14A8 X:14A8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:249 H:331 F: 8
			81BA3B AA          TAX                    A:14E8 X:14A8 Y:0027 S:012C D:0E68 DB:86 nvmxdizc V:249 H:336 F: 8
