80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0002 S:0133 D:0E68 DB:86 nvMXdizC V:250 H:300 F:33
				83BA8E AA          TAX                    A:1268 X:1228 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:251 H:260 F:33
				83BA8F C9 28 14    CMP #$1428             A:1268 X:1268 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:251 H:263 F:33
				83BA92 90 98       BCC $0098     [83BA2C] A:1268 X:1268 Y:0002 S:012A D:0E68 DB:86 Nvmxdizc V:251 H:267 F:33
				83BA2C E2 20       SEP #$20               A:1268 X:1268 Y:0002 S:012A D:0E68 DB:86 Nvmxdizc V:251 H:272 F:33
				83BA2E BD 00 00    LDA $0000,X   [861268] A:1268 X:1268 Y:0002 S:012A D:0E68 DB:86 NvMxdizc V:251 H:276 F:33
				83BA31 F0 54       BEQ $0054     [83BA87] A:1200 X:1268 Y:0002 S:012A D:0E68 DB:86 nvMxdiZc V:251 H:284 F:33
				83BA87 C2 20       REP #$20               A:1200 X:1268 Y:0002 S:012A D:0E68 DB:86 nvMxdiZc V:251 H:289 F:33
				83BA89 8A          TXA                    A:1200 X:1268 Y:0002 S:012A D:0E68 DB:86 nvmxdiZc V:251 H:293 F:33
				83BA8A 18          CLC                    A:1268 X:1268 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:251 H:296 F:33
				83BA8B 69 40 00    ADC #$0040             A:1268 X:1268 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:251 H:299 F:33
				83BA8E AA          TAX                    A:12A8 X:1268 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:251 H:304 F:33
				83BA8F C9 28 14    CMP #$1428             A:12A8 X:12A8 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:251 H:307 F:33
				83BA92 90 98       BCC $0098     [83BA2C] A:12A8 X:12A8 Y:0002 S:012A D:0E68 DB:86 Nvmxdizc V:251 H:311 F:33
				83BA2C E2 20       SEP #$20               A:12A8 X:12A8 Y:0002 S:012A D:0E68 DB:86 Nvmxdizc V:251 H:316 F:33
				83BA2E BD 00 00    LDA $0000,X   [8612A8] A:12A8 X:12A8 Y:0002 S:012A D:0E68 DB:86 NvMxdizc V:251 H:320 F:33
				83BA31 F0 54       BEQ $0054     [83BA87] A:1200 X:12A8 Y:0002 S:012A D:0E68 DB:86 nvMxdiZc V:251 H:327 F:33
				83BA87 C2 20       REP #$20               A:1200 X:12A8 Y:0002 S:012A D:0E68 DB:86 nvMxdiZc V:251 H:332 F:33
				83BA89 8A          TXA                    A:1200 X:12A8 Y:0002 S:012A D:0E68 DB:86 nvmxdiZc V:251 H:336 F:33
				83BA8A 18          CLC                    A:12A8 X:12A8 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:251 H:339 F:33
				83BA8B 69 40 00    ADC #$0040             A:12A8 X:12A8 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:252 H:  2 F:33
				83BA8E AA          TAX                    A:12E8 X:12A8 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:252 H:  7 F:33
				83BA8F C9 28 14    CMP #$1428             A:12E8 X:12E8 Y:0002 S:012A D:0E68 DB:86 nvmxdizc V:252 H: 10 F:33
				83BA92 90 98       BCC $0098     [83BA2C] A:12E8 X:12E8 Y:0002 S:012A D:0E68 DB:86 Nvmxdizc V:252 H: 14 F:33
